encoder,pretty_encoder,family,n_samples,R10,R50,R200,bar_lambda,bar_kappa,bar_rho10,checkpoint_identifier,package_source,head_checkpoint_pattern
clip_rn101,clip_rn101,CLIP / multimodal,872,11.46788990825688,,0.573394495412844,0.20212042331695557,0.8763696187431638,0.27714526211114876,clip_rn101,open_clip,external_storage/checkpoints/clip_rn101_imagenet100*_head.pt
clip_rn50,clip_rn50,CLIP / multimodal,851,3.8777908343125738,,0.0,0.1754283457994461,0.8445209155062807,0.3171452948032911,clip_rn50,open_clip,external_storage/checkpoints/clip_rn50_imagenet100*_head.pt
clip_vit_l14,CLIP ViT-L/14,CLIP / multimodal,953,48.58342077649528,18.57292759706191,9.024134312696747,0.2373557686805725,0.947469387892629,0.19992844506710483,clip_vit_l14,open_clip,external_storage/checkpoints/clip_vit_l14_imagenet100*_head.pt
clip_vitb16,CLIP ViT-B/16,CLIP / multimodal,919,23.5038084874864,10.228509249183896,5.8759521218716,0.5143280625343323,0.7324617388477996,0.4871564002688542,clip_vitb16,open_clip,external_storage/checkpoints/clip_vitb16_imagenet100*_head.pt
convnext_base,ConvNeXt-B,ConvNeXt,961,67.42976066597295,43.49635796045786,31.21748178980229,2.050675630569458,0.4932787222081094,0.5725990512983969,convnext_base,timm / torchvision,external_storage/checkpoints/convnext_base_imagenet100*_head.pt
convnext_large,ConvNeXt-L,ConvNeXt,969,68.21465428276574,40.55727554179567,26.625386996904027,1.1346817016601562,0.8362800773054282,0.45173961811716845,convnext_large,timm / torchvision,external_storage/checkpoints/convnext_large_imagenet100*_head.pt
convnext_small,ConvNeXt-S,ConvNeXt,965,58.96373056994819,39.689119170984455,28.186528497409324,1.0792243480682373,0.7795784209305459,0.49669211588658824,convnext_small,timm / torchvision,external_storage/checkpoints/convnext_small_imagenet100*_head.pt
convnext_tiny,ConvNeXt-T,ConvNeXt,953,51.41657922350472,30.535152151101784,20.88142707240294,0.9587874412536621,0.7417882584440463,0.5658422124472882,convnext_tiny,timm / torchvision,external_storage/checkpoints/convnext_tiny_imagenet100*_head.pt
deit3_large_patch16_224,deit3_large_patch16_224,Supervised ViT / DeiT / DeiT3,975,84.2051282051282,73.94871794871794,63.69230769230769,2.287726640701294,0.7066867259929754,0.42808065947300644,deit3_large_patch16_224,timm / torchvision,external_storage/checkpoints/deit3_large_patch16_224_imagenet100*_head.pt
deit3_medium_patch16_224,deit3_medium_patch16_224,Supervised ViT / DeiT / DeiT3,950,36.0,11.052631578947368,7.894736842105263,1.2629908919334412,0.6583142747984554,1.0118145020198757,deit3_medium_patch16_224,timm / torchvision,external_storage/checkpoints/deit3_medium_patch16_224_imagenet100*_head.pt
deit3_small_patch16_224,deit3_small_patch16_224,Supervised ViT / DeiT / DeiT3,946,63.530655391120504,51.90274841437632,43.97463002114165,1.5096470713615417,0.4773955312957507,0.43278746652538946,deit3_small_patch16_224,timm / torchvision,external_storage/checkpoints/deit3_small_patch16_224_imagenet100*_head.pt
deit3_vitb16,DeiT3 ViT-B/16,Supervised ViT / DeiT / DeiT3,963,79.33541017653167,71.23572170301142,63.862928348909655,2.532419204711914,0.45278216940695293,0.43492634625814375,deit3_vitb16,timm / torchvision,external_storage/checkpoints/deit3_vitb16_imagenet100*_head.pt
