backbone,eps,eps_tag,rho10,tau10,lambda10,R10,n10,R100,n100,DeltaR_10_100
clip_rn101,0.000980392156862745,eps025centi_255,0.2391293029627839,-0.5953365862369537,0.22708456963300705,14.564220183486237,872,2.86697247706422,872,11.697247706422017
clip_rn50,0.000980392156862745,eps025centi_255,0.27170124449928323,-0.5255239605903625,0.1972523331642151,5.64042303172738,851,0.7050528789659225,851,4.9353701527614575
clip_vit_l14,0.000980392156862745,eps025centi_255,0.23007449944951297,-0.5435336232185364,0.44441497325897217,50.05246589716684,953,28.961175236096537,953,21.091290661070303
clip_vitb16,0.000980392156862745,eps025centi_255,0.3753433021001982,-0.1115206778049469,0.7012262344360352,34.60282916213275,919,22.742110990206747,919,11.860718171926003
convnext_base,0.000980392156862745,eps025centi_255,0.37184817202246734,0.07838687300682068,2.4375810623168945,74.0894901144641,961,61.49843912591051,961,12.59105098855359
convnext_large,0.000980392156862745,eps025centi_255,0.3506678813688673,-0.2953870892524719,1.4504603147506714,74.81940144478844,969,58.51393188854489,969,16.30546955624355
convnext_small,0.000980392156862745,eps025centi_255,0.3798656447093389,-0.13822303712368011,1.409386157989502,66.1139896373057,965,56.16580310880829,965,9.948186528497416
convnext_tiny,0.000980392156862745,eps025centi_255,0.43134446498292345,-0.09949858486652374,1.2170642614364624,60.230849947534104,953,49.94753410283316,953,10.283315844700944
deit3_large_patch16_224,0.000980392156862745,eps025centi_255,0.2876758550292209,-0.07241906970739365,4.026209831237793,89.53846153846153,975,85.84615384615385,975,3.692307692307679
deit3_medium_patch16_224,0.000980392156862745,eps025centi_255,0.7405383692388066,0.43743088841438293,1.8822643756866455,55.78947368421052,950,35.89473684210526,950,19.89473684210526
deit3_small_patch16_224,0.000980392156862745,eps025centi_255,0.2759607376901796,-0.007614389061927795,2.074067234992981,71.67019027484145,946,66.8076109936575,946,4.86257928118394
deit3_vitb16,0.000980392156862745,eps025centi_255,0.26831279775819894,0.03538670390844345,3.7417492866516113,83.28141225337488,963,81.61993769470405,963,1.6614745586708324
deit_base_patch16_224,0.000980392156862745,eps025centi_255,0.47681056602701943,0.1453327089548111,2.4211742877960205,70.19937040923399,953,55.9286463798531,953,14.270724029380894
deit_small_patch16_224,0.000980392156862745,eps025centi_255,0.35448573099129455,0.010535014793276787,2.035243034362793,72.42489270386267,932,62.768240343347635,932,9.656652360515032
deit_tiny,0.000980392156862745,eps025centi_255,0.2907538627107229,-0.0036445746663957834,1.1528291702270508,55.367231638418076,885,46.779661016949156,885,8.58757062146892
densenet121,0.000980392156862745,eps025centi_255,0.25551660739635196,-0.07905842363834381,0.8874539732933044,48.298572996706916,911,43.90779363336993,911,4.390779363336989
densenet201,0.000980392156862745,eps025centi_255,0.2052105046366659,-0.0850171223282814,0.9305967688560486,53.821313240043054,929,49.51560818083961,929,4.305705059203447
dino_resnet50,0.000980392156862745,eps025centi_255,0.2671368332780588,-0.10580746829509735,0.7735275030136108,42.728297632469,887,36.076662908680944,887,6.651634723788057
dino_vitb16,0.000980392156862745,eps025centi_255,0.08908337113692766,0.01294625736773014,2.4528486728668213,82.6608505997819,917,82.00654307524536,917,0.6543075245365344
dino_vitb8,0.000980392156862745,eps025centi_255,0.05553444714405886,0.054013872519135475,2.6250194311141968,82.36559139784946,930,81.93548387096774,930,0.43010752688171294
dino_vits16,0.000980392156862745,eps025centi_255,0.09029166842638969,0.02599223516881466,1.983176350593567,73.48734873487349,909,73.04730473047304,909,0.44004400440044833
dinov2_vitb14,0.000980392156862745,eps025centi_255,0.19728723113824564,0.07575288414955139,2.00227427482605,74.35098650051921,963,68.01661474558671,963,6.334371754932505
dinov2_vitl14,0.000980392156862745,eps025centi_255,0.24432729814086684,0.0912136510014534,2.7276451587677,81.34715025906736,965,72.95336787564767,965,8.39378238341969
dinov2_vits14,0.000980392156862745,eps025centi_255,0.1280778212607352,0.06723489239811897,1.5463054776191711,65.15151515151516,924,60.71428571428571,924,4.437229437229448
efficientnet_b0,0.000980392156862745,eps025centi_255,0.10955337515401853,0.05641920119524002,1.8849592208862305,69.98916576381366,923,69.23076923076923,923,0.7583965330444329
efficientnet_b1,0.000980392156862745,eps025centi_255,0.13065689467143216,0.11667244136333466,2.5302510261535645,71.56652360515021,932,70.92274678111588,932,0.6437768240343331
efficientnet_b3,0.000980392156862745,eps025centi_255,0.2535375404091402,0.24082597345113754,2.573091745376587,67.52136752136752,936,63.141025641025635,936,4.380341880341888
mixer_b16_224,0.000980392156862745,eps025centi_255,0.1799886039857297,0.18647734075784683,2.4677611589431763,72.58771929824562,912,68.85964912280701,912,3.728070175438603
mobilenetv3_large_100,0.000980392156862745,eps025centi_255,0.20888619943305642,-0.05364547669887543,0.8940508961677551,48.298572996706916,911,44.89571899012075,911,3.4028540065861677
resnet101,0.000980392156862745,eps025centi_255,0.3115421503107829,-0.1291913241147995,1.3491063714027405,67.27467811158799,932,59.227467811158796,932,8.047210300429192
resnet152,0.000980392156862745,eps025centi_255,0.30099649967758424,-0.16384807229042053,1.3590161800384521,68.34910620399579,951,60.98843322818086,951,7.3606729758149285
resnet18,0.000980392156862745,eps025centi_255,0.22467222551704263,-0.08618224039673805,0.8971056342124939,49.88789237668161,892,47.08520179372198,892,2.8026905829596345
resnet34,0.000980392156862745,eps025centi_255,0.3073356580536013,-0.033816754817962646,1.2674416303634644,57.74647887323944,923,53.19609967497292,923,4.550379198266519
