backbone,linf_label,linf_eps,linf_tag,rho_l2_10,rho_linf_10,n_l2,source
clip_rn101,0.25/255,0.0009803921568627,eps025centi_255,0.27714526211114876,0.2391293029627839,872,linf_sweetspot
clip_rn50,0.25/255,0.0009803921568627,eps025centi_255,0.3171452948032911,0.2717012444992832,851,linf_sweetspot
clip_vit_l14,0.25/255,0.0009803921568627,eps025centi_255,0.19992844506710483,0.2300744994495129,953,linf_sweetspot
clip_vitb16,0.25/255,0.0009803921568627,eps025centi_255,0.4871564002688542,0.3753433021001982,919,linf_sweetspot
convnext_base,0.25/255,0.0009803921568627,eps025centi_255,0.5725990512983969,0.3718481720224673,961,linf_sweetspot
convnext_large,0.25/255,0.0009803921568627,eps025centi_255,0.45173961811716845,0.3506678813688673,969,linf_sweetspot
convnext_small,0.25/255,0.0009803921568627,eps025centi_255,0.49669211588658824,0.3798656447093389,965,linf_sweetspot
convnext_tiny,0.25/255,0.0009803921568627,eps025centi_255,0.5658422124472882,0.4313444649829234,953,linf_sweetspot
deit3_large_patch16_224,0.25/255,0.0009803921568627,eps025centi_255,0.42808065947300644,0.2876758550292209,975,linf_sweetspot
deit3_medium_patch16_224,0.25/255,0.0009803921568627,eps025centi_255,1.0118145020198757,0.7405383692388066,950,linf_sweetspot
deit3_small_patch16_224,0.25/255,0.0009803921568627,eps025centi_255,0.43278746652538946,0.2759607376901796,946,linf_sweetspot
deit3_vitb16,0.25/255,0.0009803921568627,eps025centi_255,0.43492634625814375,0.2683127977581989,963,linf_sweetspot
deit_base_patch16_224,0.25/255,0.0009803921568627,eps025centi_255,0.7363539674202184,0.4768105660270194,953,linf_sweetspot
deit_small_patch16_224,0.25/255,0.0009803921568627,eps025centi_255,0.610073080433267,0.3544857309912945,932,linf_sweetspot
deit_tiny,0.25/255,0.0009803921568627,eps025centi_255,0.512631399519897,0.2907538627107229,885,linf_sweetspot
densenet121,0.25/255,0.0009803921568627,eps025centi_255,0.35332901932513683,0.2555166073963519,911,linf_sweetspot
densenet201,0.25/255,0.0009803921568627,eps025centi_255,0.27420028625585946,0.2052105046366659,929,linf_sweetspot
dino_resnet50,0.25/255,0.0009803921568627,eps025centi_255,0.35247463992915584,0.2671368332780588,887,linf_sweetspot
dino_vitb16,0.25/255,0.0009803921568627,eps025centi_255,0.1702742604116253,0.0890833711369276,917,linf_sweetspot
dino_vitb8,0.25/255,0.0009803921568627,eps025centi_255,0.1266468909845102,0.0555344471440588,930,linf_sweetspot
dino_vits16,0.25/255,0.0009803921568627,eps025centi_255,0.16208680842968137,0.0902916684263896,909,linf_sweetspot
dinov2_vitb14,0.25/255,0.0009803921568627,eps025centi_255,0.3538796481573385,0.1972872311382456,963,linf_sweetspot
dinov2_vitl14,0.25/255,0.0009803921568627,eps025centi_255,0.41396509017442185,0.2443272981408668,965,linf_sweetspot
dinov2_vits14,0.25/255,0.0009803921568627,eps025centi_255,0.27744738928138035,0.1280778212607352,924,linf_sweetspot
efficientnet_b0,0.25/255,0.0009803921568627,eps025centi_255,0.1848166118650596,0.1095533751540185,923,linf_sweetspot
