encoder,R_top1_10,R_top1_100,delta_R_top1_10_100,n_samples,pretty_encoder,family,rho10,bar_rho10,R10,delta_R_10_200,bar_tau10,source_json
clip_rn101,15.999999642372131,2.999999932944774,12.999999709427357,100.0,clip_rn101,CLIP / multimodal,0.2771452621111487,0.2771452621111487,11.46788990825688,10.894495412844035,-0.5917068719863892,ce_apgd_top1_clip_rn101_L2_eps0.25.json
clip_rn50,7.999999821186066,0.9999999776482582,6.999999843537808,100.0,clip_rn50,CLIP / multimodal,0.3171452948032911,0.3171452948032911,3.8777908343125738,3.8777908343125738,-0.5250681042671204,ce_apgd_top1_clip_rn50_L2_eps0.25.json
clip_vit_l14,62.00000047683716,14.000000059604645,48.00000041723251,100.0,CLIP ViT-L/14,CLIP / multimodal,0.1999284450671048,0.1999284450671048,48.58342077649528,39.559286463798536,-0.7402417063713074,ce_apgd_top1_clip_vit_l14_L2_eps0.25.json
clip_vitb16,36.000001430511475,11.9999997317791,24.000001698732376,100.0,CLIP ViT-B/16,CLIP / multimodal,0.4871564002688542,0.4871564002688542,23.5038084874864,17.6278563656148,-0.2355148196220398,ce_apgd_top1_clip_vitb16_L2_eps0.25.json
convnext_base,77.99999713897705,43.99999976158142,33.99999737739563,100.0,ConvNeXt-B,ConvNeXt,0.5725990512983969,0.5725990512983969,67.42976066597295,36.21227887617066,0.1355469226837158,ce_apgd_top1_convnext_base_L2_eps0.25.json
convnext_large,76.99999809265137,41.999998688697815,34.99999940395355,100.0,ConvNeXt-L,ConvNeXt,0.4517396181171684,0.4517396181171684,68.21465428276574,41.58926728586171,-0.3069306313991546,ce_apgd_top1_convnext_large_L2_eps0.25.json
convnext_small,72.00000286102295,40.00000059604645,32.0000022649765,100.0,ConvNeXt-S,ConvNeXt,0.4966921158865882,0.4966921158865882,58.96373056994819,30.777202072538863,-0.2165868729352951,ce_apgd_top1_convnext_small_L2_eps0.25.json
convnext_tiny,66.00000262260437,27.00000107288361,39.00000154972077,100.0,ConvNeXt-T,ConvNeXt,0.5658422124472882,0.5658422124472882,51.41657922350472,30.53515215110178,-0.1377751380205154,ce_apgd_top1_convnext_tiny_L2_eps0.25.json
deit3_large_patch16_224,91.00000262260436,73.00000190734863,18.000000715255737,100.0,deit3_large_patch16_224,Supervised ViT / DeiT / DeiT3,0.4280806594730064,0.4280806594730064,84.2051282051282,20.51282051282051,-0.1598545312881469,ce_apgd_top1_deit3_large_patch16_224_L2_eps0.25.json
deit3_medium_patch16_224,37.00000047683716,7.999999821186066,29.000000655651093,100.0,deit3_medium_patch16_224,Supervised ViT / DeiT / DeiT3,1.0118145020198757,1.0118145020198757,36.0,28.105263157894736,0.428714707493782,ce_apgd_top1_deit3_medium_patch16_224_L2_eps0.25.json
deit3_small_patch16_224,72.00000286102295,55.000001192092896,17.000001668930054,100.0,deit3_small_patch16_224,Supervised ViT / DeiT / DeiT3,0.4327874665253894,0.4327874665253894,63.5306553911205,19.55602536997885,-0.0008241560935857,ce_apgd_top1_deit3_small_patch16_224_L2_eps0.25.json
deit3_vitb16,85.00000238418579,74.00000095367432,11.000001430511476,100.0,DeiT3 ViT-B/16,Supervised ViT / DeiT / DeiT3,0.4349263462581437,0.4349263462581437,79.33541017653167,15.472481827622012,0.0338522680103778,ce_apgd_top1_deit3_vitb16_L2_eps0.25.json
deit_base_patch16_224,79.00000214576721,20.000000298023224,59.00000184774399,100.0,DeiT-Base,Supervised ViT / DeiT / DeiT3,0.7363539674202184,0.7363539674202184,61.90975865687304,38.30010493179434,0.1033716425299644,ce_apgd_top1_deit_base_patch16_224_L2_eps0.25.json
