encoder,n_common,steps10_restarts,steps200_restarts,R10,R200,delta_R_10_200,conditional_collapse_10_200_pp,rho10,rho200,bar_lambda,bar_kappa,bar_tau10,bar_tau200,bar_m10,bar_m200,median_Lp,median_raw_gap_10,family,backend,model_name,feat_dim,input_size,expected_cost_bin,registry_status,notes
densenet169,921,5,5,38.327904451682954,30.293159609120522,8.034744842562432,20.96317280453258,0.30776286854012014,0.3931864897998756,0.7554305791854858,0.4044451188095697,-0.09536129236221313,-0.005714781116694212,-0.13044639769941568,-0.2687893956899643,12.939286231994629,3.9880908253597056,densenet,timm,densenet169.tv_in1k,1664,224,medium,existing,non-canonical DenseNet checkpoint
maxvit_tiny_tf_224,955,5,5,65.13089005235602,12.041884816753926,53.089005235602095,81.51125401929261,0.8108865175411337,2.5983225187356163,1.9712927341461182,0.6482353137486649,0.23325246572494507,1.9710196256637573,0.5932016968727112,-0.9755421876907349,4.193747520446777,3.837604457906119,maxvit,timm,maxvit_tiny_tf_224.in1k,512,224,medium,existing,hybrid attention-conv family
vit_base_patch32_224,935,5,5,77.86096256684492,73.2620320855615,4.598930481283418,5.906593406593406,0.2977910862035351,0.3890358176014157,1.8100377321243286,0.40320550974696356,-0.06347332894802094,0.027195990085601807,0.9164506793022156,0.7397852540016174,7.776046276092529,2.612766363554759,vit_supervised,timm,vit_base_patch32_224.augreg_in21k_ft_in1k,768,224,medium,existing,patch-32 supervised ViT
convnextv2_tiny,951,5,5,43.63827549947424,12.513144058885384,31.125131440588856,71.32530120481928,1.043548043976159,2.334904850442671,1.4499858617782593,0.5986163720833702,0.5069409012794495,1.7377443313598633,-0.1327705979347229,-1.13946133852005,5.575533866882324,6.608149523927176,convnextv2,timm,convnextv2_tiny.fcmae_ft_in1k,768,224,medium,new,ConvNeXtV2 FCMAE fine-tuned checkpoint
regnety_032,957,5,5,54.33646812957158,31.03448275862069,23.301985370950888,42.88461538461538,0.5816707254366857,1.0278270435629295,1.6347907781600952,0.41507544285224185,0.19612044095993042,0.7020962834358215,0.15870392322540283,-0.6065929532051086,5.0698089599609375,3.729987774573818,regnety,timm,regnety_032.ra_in1k,1512,224,medium,new,RegNetY supervised checkpoint
regnety_064,947,5,5,55.43822597676874,25.76557550158395,29.672650475184792,53.52380952380953,0.6947632605165488,1.774638568461917,1.9172110557556152,0.5598528337869464,0.15464100241661072,1.3749555349349976,0.22643113136291504,-0.8616910576820374,4.659971237182617,4.219790491958886,regnety,timm,regnety_064.ra3_in1k,1296,224,medium,new,larger RegNetY supervised checkpoint
beit_base_patch16_224,966,5,5,67.49482401656314,52.38095238095239,15.113871635610757,22.392638036809817,0.47572413387753054,0.7746301259960324,1.5556285381317139,0.6162530575297753,-0.09951803088188171,0.22582678496837616,0.5461273267865181,0.08378051221370697,6.906026840209961,3.724615712242192,beit,timm,beit_base_patch16_224.in22k_ft_in22k_in1k,768,224,medium,new,BEiT base checkpoint
beitv2_base_patch16_224,969,5,5,74.30340557275542,49.122807017543856,25.180598555211567,33.88888888888889,0.3844204177898316,0.8436610067606666,1.492106318473816,0.6780314951020792,-0.2366756796836853,0.2776592969894409,0.7299999594688416,-0.034012965857982635,7.5211873054504395,3.0028333966815195,beitv2,timm,beitv2_base_patch16_224.in1k_ft_in22k_in1k,768,224,medium,new,BEiTv2 base checkpoint
eva02_base_patch16_clip_224,966,5,5,69.35817805383023,49.06832298136646,20.289855072463773,29.253731343283583,0.3745993414721278,0.6565284266626938,0.9665097296237946,0.754947814955929,-0.3573923110961914,-0.054430609568953514,0.2890162616968155,-0.01055239886045456,8.101596355438232,3.1644731403263053,eva,timm,eva02_base_patch16_clip_224.merged2b,768,224,medium,new,EVA02 CLIP-style checkpoint
vit_base_patch32_clip_224,903,5,5,29.67884828349945,12.181616832779623,17.497231450719823,58.95522388059702,0.4502908329537978,0.6844947206596856,0.41859936714172363,0.8619030245289139,-0.39427945017814636,-0.15493477880954742,-0.16155505180358887,-0.3947351351380348,17.46283531188965,7.938432777711856,clip_timm,timm,vit_base_patch32_clip_224.openai,768,224,medium,new,OpenAI CLIP ViT-B/32 via timm
nfnet_l0,960,5,5,58.12500000000001,32.708333333333336,25.41666666666667,43.727598566308245,0.6066626216290514,1.1590364852990693,1.7628133296966553,0.3319582443038738,0.27944615483283997,0.8995617628097534,0.2987743020057678,-0.5103169083595276,4.5364086627960205,2.9297291156490646,nfnet,timm,nfnet_l0.ra2_in1k,2304,224,large,new,NFNet held-out convnet checkpoint
